"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Phelps County, MO"	"29161"	10	44744	Unreliable	0.0%
	"St. Charles County, MO"	"29183"	79	395504	20.0	0.2%
	"St. Louis County, MO"	"29189"	249	996726	25.0	0.5%
	"St. Louis city, MO"	"29510"	187	308626	60.6	0.4%
	"Douglas County, NE"	"31055"	30	561620	5.3	0.1%
	"Lancaster County, NE"	"31109"	10	314358	Unreliable	0.0%
	"Clark County, NV"	"32003"	298	2204079	13.5	0.6%
	"Lyon County, NV"	"32019"	13	54122	Unreliable	0.0%
	"Washoe County, NV"	"32031"	78	460587	16.9	0.2%
	"Carson City, NV"	"32510"	15	54745	Unreliable	0.0%
	"Belknap County, NH"	"33001"	23	60785	37.8	0.0%
	"Carroll County, NH"	"33003"	16	48064	Unreliable	0.0%
	"Cheshire County, NH"	"33005"	22	75960	29.0	0.0%
	"Coos County, NH"	"33007"	11	31634	Unreliable	0.0%
	"Grafton County, NH"	"33009"	17	89386	Unreliable	0.0%
	"Hillsborough County, NH"	"33011"	163	409697	39.8	0.3%
	"Merrimack County, NH"	"33013"	34	149216	22.8	0.1%
	"Rockingham County, NH"	"33015"	90	306363	29.4	0.2%
	"Strafford County, NH"	"33017"	48	128613	37.3	0.1%
	"Atlantic County, NJ"	"34001"	122	269918	45.2	0.3%
	"Bergen County, NJ"	"34003"	124	948406	13.1	0.3%
	"Burlington County, NJ"	"34005"	122	448596	27.2	0.3%
	"Camden County, NJ"	"34007"	14	510719	Unreliable	0.0%
	"Cape May County, NJ"	"34009"	44	93553	47.0	0.1%
	"Cumberland County, NJ"	"34011"	71	152538	46.5	0.1%
	"Essex County, NJ"	"34013"	252	808285	31.2	0.5%
	"Gloucester County, NJ"	"34015"	16	292206	Unreliable	0.0%
	"Hudson County, NJ"	"34017"	117	691643	16.9	0.2%
	"Hunterdon County, NJ"	"34019"	22	125059	17.6	0.0%
	"Mercer County, NJ"	"34021"	80	374733	21.3	0.2%
	"Middlesex County, NJ"	"34023"	204	842798	24.2	0.4%
	"Monmouth County, NJ"	"34025"	165	626351	26.3	0.3%
	"Morris County, NJ"	"34027"	96	499693	19.2	0.2%
	"Ocean County, NJ"	"34029"	190	597943	31.8	0.4%
	"Passaic County, NJ"	"34031"	100	512607	19.5	0.2%
	"Somerset County, NJ"	"34035"	56	335432	16.7	0.1%
	"Sussex County, NJ"	"34037"	34	141682	24.0	0.1%
	"Union County, NJ"	"34039"	106	563892	18.8	0.2%
